                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4812,                 3.7472,                 1.6599,                0.68102,                    0.5,                   0.67,                0.19388,                  2.313,                  2.064,                 2.2108,                 0.0874,                 0.0014,                 0.0014
                      1,                0.83101,                   1.69,                 1.1422,                0.94808,                0.83333,                  0.955,                0.74866,                0.95447,                 1.5565,                 1.3533,               0.073871,              0.0028713,              0.0028713
                      2,                0.70919,                 1.0432,                 1.0481,                      1,                      1,                  0.995,                0.83919,                0.72853,                0.79727,                 1.0185,               0.060313,              0.0043129,              0.0043129
                      3,                0.64241,                0.91383,                 1.0235,                0.99233,                      1,                  0.995,                0.81138,                0.78705,                0.37222,                 1.0874,               0.046725,              0.0057248,              0.0057248
                      4,                 0.6311,                0.62718,                0.99614,                  0.991,                      1,                  0.995,                0.82005,                0.77133,                0.36634,                    1.1,               0.033107,               0.007107,               0.007107
                      5,                0.66175,                0.93454,                 1.0075,                0.99232,                      1,                  0.995,                0.86408,                0.62735,                0.83106,                0.93585,               0.019459,              0.0084594,              0.0084594
                      6,                0.64215,                0.79105,                0.99496,                0.99166,                      1,                  0.995,                0.76619,                0.76625,                   1.36,                0.95152,               0.009406,               0.009406,               0.009406
                      7,                0.74464,                 1.1234,                0.97567,                0.94173,                      1,                  0.995,                0.87023,                0.61913,                   1.06,                0.91571,               0.009406,               0.009406,               0.009406
                      8,                0.72812,                0.95139,                0.98995,                0.38039,                      1,                  0.597,                 0.5006,                0.58239,                 3.5419,                0.90496,               0.009307,               0.009307,               0.009307
                      9,                0.71336,                0.96629,                0.98005,                      1,                 0.9874,                  0.995,                0.86432,                0.59723,                0.56933,                0.93553,               0.009208,               0.009208,               0.009208
                     10,                0.64955,                 1.0651,                 1.0251,                 0.9835,                      1,                  0.995,                0.85611,                0.62084,                 1.0906,                0.90494,               0.009109,               0.009109,               0.009109
                     11,                0.65697,                0.84208,                 1.0516,                0.99195,                      1,                  0.995,                0.83675,                0.76052,                 0.5672,                0.92944,                0.00901,                0.00901,                0.00901
                     12,                0.68105,                0.61444,                  1.016,                0.99161,                      1,                  0.995,                0.82769,                0.75934,                0.67435,                0.97472,               0.008911,               0.008911,               0.008911
                     13,                0.70851,                0.55448,                 1.0458,                0.99037,                      1,                  0.995,                0.70641,                0.84615,                0.51285,                 1.0001,               0.008812,               0.008812,               0.008812
                     14,                0.75018,                0.59053,                 1.0584,                0.99171,                      1,                  0.995,                0.82238,                0.72954,                0.46291,                0.99639,               0.008713,               0.008713,               0.008713
                     15,                0.77826,                0.63489,                 1.1033,                 0.9873,                      1,                  0.995,                0.76398,                0.91896,                0.62595,                 1.0656,               0.008614,               0.008614,               0.008614
                     16,                0.68034,                0.55118,                 1.0287,                0.98478,                      1,                  0.995,                 0.8199,                0.75207,                0.41838,                0.99852,               0.008515,               0.008515,               0.008515
                     17,                  0.697,                 0.5158,                 1.0298,                      1,                0.98908,                  0.995,                0.82282,                0.80438,                0.49187,                0.99899,               0.008416,               0.008416,               0.008416
                     18,                0.69945,                0.51896,                 1.0292,                0.99928,                      1,                  0.995,                0.85839,                0.70755,                0.38236,                0.94835,               0.008317,               0.008317,               0.008317
                     19,                0.71606,                0.52178,                 1.0803,                0.99243,                      1,                  0.995,                0.89906,                0.60202,                0.35451,                0.93369,               0.008218,               0.008218,               0.008218
                     20,                0.68825,                0.49898,                 1.0122,                0.99201,                      1,                  0.995,                0.82612,                 0.6884,                0.40316,                0.98309,               0.008119,               0.008119,               0.008119
                     21,                0.66345,                0.51568,                0.98971,                0.99265,                      1,                  0.995,                0.82317,                0.74496,                0.39507,                 1.0204,                0.00802,                0.00802,                0.00802
                     22,                0.66033,                0.52317,                 1.0331,                0.98959,                      1,                  0.995,                0.83708,                0.70279,                0.42044,                0.99632,               0.007921,               0.007921,               0.007921
                     23,                0.69031,                0.54805,                0.99278,                 0.9919,                      1,                  0.995,                0.83567,                0.78389,                0.45776,                 1.0093,               0.007822,               0.007822,               0.007822
                     24,                  0.725,                 0.5378,                 1.0328,                0.99224,                      1,                  0.995,                0.81018,                0.73874,                 0.3895,                0.99667,               0.007723,               0.007723,               0.007723
                     25,                0.68704,                0.51797,                 1.0527,                0.98901,                      1,                  0.995,                0.80975,                0.59326,                0.36781,                0.93622,               0.007624,               0.007624,               0.007624
                     26,                0.69009,                0.56082,                 1.0308,                0.99133,                      1,                  0.995,                   0.84,                0.65503,                0.34504,                0.95217,               0.007525,               0.007525,               0.007525
                     27,                0.65807,                0.48651,                 1.0151,                 0.9915,                      1,                  0.995,                0.85052,                0.60664,                 0.3516,                0.93285,               0.007426,               0.007426,               0.007426
                     28,                0.64304,                0.47719,                 1.0187,                0.99113,                      1,                  0.995,                0.87994,                0.61345,                 0.3587,                0.93857,               0.007327,               0.007327,               0.007327
